Fecha/Hora,Posición,Símbolo,Tipo,Volumen,Precio,S / L,T / P,Fecha/Hora,Precio,Comisión,Swap,Beneficio,Lote
2022.09.15 21:17:28,58586674,EURUSD,buy,0.01, 0.99950, 0.99920, 0.99955,2022.09.15 21:18:35, 0.99955,0.00,0.00, 0.05,100000
2022.09.15 21:21:39,58586767,EURUSD,buy,0.1, 0.99980, 0.99950, 0.99980,2022.09.15 21:23:43, 0.99950,0.00,0.00,- 3.00,100000
2022.09.16 21:52:23,58630858,USDJPY,sell,0.1, 142.902, 142.940, 142.820,2022.09.16 21:54:30, 142.940,0.00,0.00,- 2.66,100000
2022.09.16 21:55:36,58630914,USDJPY,buy,0.1, 142.931, 142.900, 142.930,2022.09.16 21:56:01, 142.933,0.00,0.00, 0.14,100000
2022.09.16 22:00:40,58631065,EURUSD,buy,0.1, 1.00039, 0.99445, 1.00300,2022.09.20 01:13:37, 1.00301,0.00,- 2.64, 26.20,100000
2022.09.16 22:03:38,58631111,USDJPY,sell,0.1, 142.926, 143.840, 142.730,2022.09.19 02:37:19, 142.727,0.00,- 2.61, 13.94,100000
2022.09.16 22:05:16,58631157,GBPUSD,buy,0.1, 1.14220, 1.13501, 1.14833,2022.09.20 16:40:34, 1.13839,0.00,- 2.20,- 38.10,100000
2022.09.16 22:06:04,58631178,EURGBP,buy,0.1, 0.87680, 0.87310, 0.87839,2022.09.19 13:50:41, 0.87840,0.00,- 1.50, 18.20,100000
2022.09.20 04:38:33,58685141,EURGBP,buy,0.2, 0.87777,, 0.87855,2022.09.20 15:01:57, 0.87357,0.00,0.00,- 96.02,100000
2022.09.20 04:42:21,58685184,EURUSD,buy,0.2, 1.00295, 0.98940, 1.00850,2022.09.20 17:20:15, 0.99802,0.00,0.00,- 98.60,100000
2022.09.20 15:04:23,58706649,USDJPY,buy,0.2, 143.651, 142.500, 143.660,2022.09.20 15:37:06, 143.661,0.00,0.00, 1.39,100000
2022.09.20 15:08:05,58706822,EURGBP,sell,0.2, 0.87358,, 0.87330,2022.09.20 15:17:54, 0.87328,0.00,0.00, 6.86,100000
2022.09.20 15:21:15,58707294,EURGBP,sell,0.4, 0.87350,, 0.87330,2022.09.20 15:23:01, 0.87330,0.00,0.00, 9.14,100000
2022.09.20 15:24:54,58707444,EURGBP,sell,0.4, 0.87342,, 0.87330,2022.09.20 15:32:57, 0.87329,0.00,0.00, 5.94,100000
2022.09.20 15:40:05,58708200,USDJPY,sell,0.1, 143.699,, 143.478,2022.09.20 17:11:45, 143.695,0.00,0.00, 0.28,100000
2022.09.20 16:50:33,58712312,AUDUSD,sell,0.2, 0.66917,, 0.66905,2022.09.20 16:51:18, 0.66905,0.00,0.00, 2.30,100000
2022.09.20 17:00:43,58713216,GBPJPY,sell,0.1, 163.787,, 163.785,2022.09.20 17:01:51, 163.784,0.00,0.00, 0.21,100000
2022.09.20 20:52:48,58901189,USDCAD,sell,0.15, 1.33650,, 1.33650,2022.09.20 20:53:54, 1.33650,0.00,0.00,0.00,100000
2022.09.21 01:09:44,58964419,GBPJPY,sell,0.1, 163.512, 163.695, 163.195,2022.09.21 01:25:32, 163.505,0.00,0.00, 0.49,100000
2022.09.22 21:58:17,59807345,EURGBP,sell,0.1, 0.87360, 0.87400, 0.87320,2022.09.22 22:07:29, 0.87400,0.00,0.00,- 4.50,100000
2022.09.22 22:04:14,59807556,EURUSD,sell,0.1, 0.98348, 0.98378, 0.98328,2022.09.22 22:06:02, 0.98378,0.00,0.00,- 3.00,100000
2022.09.22 22:16:12,59807901,EURUSD,sell,0.1, 0.98381, 0.98405, 0.98370,2022.09.22 22:16:17, 0.98405,0.00,0.00,- 2.40,100000
2022.09.22 22:18:47,59807972,AUDUSD,sell,0.1, 0.66464,,,2022.09.22 22:21:37, 0.66472,0.00,0.00,- 0.80,100000
2022.09.22 22:22:24,59808083,EURUSD,sell,0.1, 0.98353,,,2022.09.22 22:57:19, 0.98403,0.00,0.00,- 5.00,100000
2022.09.22 22:44:58,59808855,EURMXN,sell,0.1, 19.61920,,,2022.09.22 22:45:57, 19.64372,0.00,0.00,- 12.30,100000
2022.09.22 22:46:01,59808905,EURMXN,buy,0.1, 19.64377,,,2022.09.22 22:46:18, 19.62142,0.00,0.00,- 11.20,100000
2022.09.22 22:47:53,59809238,AUDUSD,buy,0.1, 0.66523,,,2022.09.22 22:50:10, 0.66490,0.00,0.00,- 3.30,100000
2022.09.23 02:34:21,59812375,EURUSD,sell,0.1, 0.98371,,,2022.09.23 03:25:17, 0.98358,0.00,0.00, 1.30,100000
