Fecha/Hora,Posición,Símbolo,Tipo,Volumen,Precio,S / L,T / P,Fecha/Hora,Precio,Comisión,Swap,Beneficio,Lote
2022.09.16 19:36:07,78270617,eurusd,buy,0.33,1.0005,0.99899,1.00349,2022.09.19 07:58:21,0.99899,0,-6.5,-49.83,100000.00
2022.09.16 19:47:50,78270974,gold,buy,0.4,1673.75,1672.33,1676.09,2022.09.16 20:51:01,1672.31,0,0,-57.6,100.00
2022.09.19 15:44:14,78302532,silver,buy,0.33,19.385,19.274,19.547,2022.09.19 16:07:42,19.274,0,0,-183.15,5000.00
2022.09.19 16:06:24,78303850,wti,sell,0.3,82.045,82.383,0,2022.09.19 16:34:00,82.418,0,0,-111.9,1000.00
2022.09.19 17:36:35,78310866,wti,buy,0.33,84.359,0,0,2022.09.19 19:18:58,85.085,0,0,239.58,1000.00
2022.09.19 17:37:41,78310943,#usspx500,buy,0.33,3881.41,0,0,2022.09.19 17:38:53,3880.56,0,0,-0.28,1.00
2022.09.19 17:40:25,78311174,#usspx500,buy,1,3882.91,0,0,2022.09.19 22:56:23,3898.31,0,0,15.4,1.00
2022.09.19 17:42:55,78311355,#usspx500,buy,1,3887.16,0,0,2022.09.19 17:42:59,3885.81,0,0,-1.35,1.00
2022.09.19 17:43:12,78311365,#usspx500,buy,10,3887.41,0,0,2022.09.19 22:56:49,3898.81,0,0,114,1.00
2022.09.20 15:55:23,78351124,eurusd,sell,0.5,0.99677,0.99905,0.99226,2022.09.20 17:08:59,0.99905,0,0,-114,100000.00
2022.09.20 16:00:59,78351489,wti,buy,0.33,85.569,83.633,89.046,2022.09.20 16:57:01,83.612,0,0,-645.81,1000.00
2022.09.20 16:08:04,78351912,gold,buy,0.01,1667.71,1657.36,0,2022.09.20 16:08:49,1667.23,0,0,-0.48,100.00
2022.09.20 16:09:02,78351952,gold,buy,0.1,1667.23,1654.16,1693.37,2022.09.21 15:13:09,1675.16,0,-1.46,79.3,100.00
2022.09.20 16:11:41,78352081,usdmxn,buy,0.5,20.04646,19.9982,20.10675,2022.09.20 17:22:23,19.99709,0,0,-123.44,100000.00
2022.09.21 15:17:26,78398846,wti,buy,0.25,85.347,83.73,88.403,2022.09.21 17:03:16,83.729,0,0,-404.5,1000.00
2022.09.21 15:22:59,78399129,#wheat_z22,buy,0.5,906.75,891.75,931.75,2022.09.21 16:45:39,891.75,0,0,-375,50.00
2022.09.21 15:31:52,78399538,#usspx500,buy,20,3876.26,3840.74,3917.26,2022.09.21 21:01:09,3840.31,0,0,-719,1.00
2022.09.21 15:44:49,78400236,gbpusd,buy,0.04,1.13437,0,0,2022.09.21 21:35:11,1.13168,0,0,-10.76,100000.00
2022.09.21 15:45:54,78400304,gbpusd,buy,0.3,1.13429,1.1245,1.15433,2022.09.21 21:01:05,1.12448,0,0,-294.3,100000.00
2022.09.21 16:47:41,78403898,#wheat_z22,buy,0.5,892.25,877,906.5,2022.09.21 20:38:15,906.5,0,0,356.25,50.00
2022.09.21 17:06:03,78405205,wti,buy,0.33,83.742,77,86,2022.09.26 18:45:28,77.678,0,12.84,-2 001.12,1000.00
2022.09.21 21:06:17,78416781,usdcad,buy,0.2,1.34418,0,0,2022.09.21 21:35:06,1.34017,0,0,-59.84,100000.00
2022.09.21 21:07:49,78416998,#usspx500,sell,20,3835.49,0,0,2022.09.21 21:35:03,3866.86,0,0,-627.4,1.00
2022.09.21 21:35:48,78420765,gbpusd,buy,0.3,1.13316,1.06,1.14,2022.09.26 18:45:17,1.06347,0,-8.88,-2 090.70,100000.00
2022.09.21 21:36:26,78420870,#usndaq100,buy,10,11867.75,0,0,2022.09.21 21:44:52,12016.4,0,0,1 486.50,1.00
2022.09.22 15:55:42,78468480,gold,buy,0.03,1682.72,0,0,2022.09.22 15:55:57,1683.44,0,0,2.16,100.00
2022.09.22 15:56:11,78468503,gold,buy,0.3,1683.55,1640,1690,2022.09.26 18:25:50,1640,0,-20.45,-1 306.50,100.00
2022.09.23 16:06:22,78517120,#usspx500,sell,30,3712.06,0,0,2022.09.23 19:36:33,3665.21,0,0,1 405.50,1.00
2022.09.23 16:31:19,78518675,snap.n,sell,20,10.29,0,0,2022.09.26 18:33:20,10.29,0,-0.05,0,1.00
2022.09.23 16:31:36,78518704,tsla.o,sell,20,283.68,0,0,2022.09.23 19:44:47,275.41,0,0,165.4,1.00
2022.09.26 17:38:59,78582128,#usspx500,buy,30,3708.01,3670,3750,2022.09.26 18:45:05,3669.91,0,0,-1 143.00,1.00
2022.09.26 17:50:05,78582853,#usndaq100,buy,30,11387.87,11320,11500,2022.09.26 18:25:59,11319.85,0,0,-2 040.60,1.00
2022.09.26 18:27:04,78585019,#usndaq100,buy,30,11319.55,0,0,2022.09.26 18:45:12,11295.65,0,0,-717,1.00
